,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
0,2010-05-19,36.76694444,-121.30305555,70.0,C,Equipment Use
1,2010-06-08,36.77694444,-121.31111111,0.5,B,Miscellaneous
2,2010-06-12,36.85611111,-121.38111111,0.1,A,Miscellaneous
3,2010-06-14,36.81805555,-121.39111111,0.1,A,Miscellaneous
4,2010-07-11,36.88305555,-121.56194444,1.0,B,Miscellaneous
5,2010-07-29,36.93611111,-121.38805555,0.3,B,Debris Burning
6,2010-09-11,36.75805555,-121.50305555,0.5,B,Equipment Use
7,2010-03-16,36.81805555,-121.39111111,0.1,A,Miscellaneous
8,2010-05-01,36.88305555,-121.56194444,1.0,B,Miscellaneous
9,2010-06-23,35.95305555,-120.86694444,16.0,C,Miscellaneous
10,2010-07-03,36.80694444,-121.71194444,1.5,B,Miscellaneous
11,2010-07-03,36.26194444,-121.17888888,0.5,B,Equipment Use
12,2010-08-14,36.89611111,-121.42694444,0.1,A,Miscellaneous
13,2010-08-31,36.82694444,-121.38194444,0.3,B,Equipment Use
14,2010-10-27,36.60888888,-121.93111111,1.0,B,Children
15,2010-01-29,36.61194444,-119.53388888,1.0,B,Debris Burning
16,2010-02-11,36.76111111,-120.38194444,1.0,B,Equipment Use
17,2010-03-04,36.48888888,-119.82694444,0.1,A,Miscellaneous
18,2010-03-20,36.555,-119.795,0.1,A,Miscellaneous
19,2010-03-27,36.35611111,-120.20888888,1.0,B,Miscellaneous
20,2010-03-27,36.85111111,-120.56305555,1.0,B,Miscellaneous
21,2010-04-02,36.97194444,-120.60888888,0.1,A,Debris Burning
22,2010-04-16,36.70805555,-119.66388888,0.1,A,Miscellaneous
23,2010-05-16,36.82305555,-119.62611111,0.3,B,Equipment Use
24,2010-05-16,36.13805555,-120.15611111,1.0,B,Equipment Use
25,2010-05-18,36.85111111,-120.56305555,200.0,D,Miscellaneous
26,2010-05-19,36.79,-120.37388888,0.3,B,Miscellaneous
27,2010-05-19,36.85194444,-119.62611111,1.0,B,Miscellaneous
28,2010-05-19,36.67805555,-119.78611111,2.0,B,Equipment Use
29,2010-05-20,36.20388888,-120.09888888,1.0,B,Debris Burning
30,2010-05-20,36.56194444,-119.71694444,1.0,B,Debris Burning
31,2010-05-20,36.19388888,-120.37305555,6.0,B,Equipment Use
32,2010-05-21,36.66305555,-119.755,1.0,B,Miscellaneous
33,2010-05-22,36.71805555,-119.755,1.0,B,Miscellaneous
34,2010-06-26,36.81305555,-119.625,1.0,B,Equipment Use
35,2010-06-01,36.705,-119.37611111,1.0,B,Debris Burning
36,2010-06-01,36.57611111,-119.64694444,4.0,B,Miscellaneous
37,2010-06-02,36.56805555,-119.95305555,50.0,C,Miscellaneous
