DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
6/8/2010,36.77694444,-121.3111111,0.5,B,Miscellaneous
6/12/2010,36.85611111,-121.3811111,0.1,A,Miscellaneous
6/14/2010,36.81805555,-121.3911111,0.1,A,Miscellaneous
7/11/2010,36.88305555,-121.5619444,1,B,Miscellaneous
7/29/2010,36.93611111,-121.3880556,0.3,B,Debris Burning
3/16/2010,36.81805555,-121.3911111,0.1,A,Miscellaneous
5/1/2010,36.88305555,-121.5619444,1,B,Miscellaneous
6/23/2010,35.95305555,-120.8669444,16,C,Miscellaneous
7/3/2010,36.80694444,-121.7119444,1.5,B,Miscellaneous
8/14/2010,36.89611111,-121.4269444,0.1,A,Miscellaneous
1/29/2010,36.61194444,-119.5338889,1,B,Debris Burning
3/4/2010,36.48888888,-119.8269444,0.1,A,Miscellaneous
3/20/2010,36.555,-119.795,0.1,A,Miscellaneous
3/27/2010,36.35611111,-120.2088889,1,B,Miscellaneous
3/27/2010,36.85111111,-120.5630556,1,B,Miscellaneous
4/2/2010,36.97194444,-120.6088889,0.1,A,Debris Burning
4/16/2010,36.70805555,-119.6638889,0.1,A,Miscellaneous
5/18/2010,36.85111111,-120.5630556,200,D,Miscellaneous
5/19/2010,36.79,-120.3738889,0.3,B,Miscellaneous
5/19/2010,36.85194444,-119.6261111,1,B,Miscellaneous
5/20/2010,36.20388888,-120.0988889,1,B,Debris Burning
5/20/2010,36.56194444,-119.7169444,1,B,Debris Burning
5/21/2010,36.66305555,-119.755,1,B,Miscellaneous
5/22/2010,36.71805555,-119.755,1,B,Miscellaneous
6/1/2010,36.705,-119.3761111,1,B,Debris Burning
6/1/2010,36.57611111,-119.6469444,4,B,Miscellaneous
6/2/2010,36.56805555,-119.9530556,50,C,Miscellaneous
6/3/2010,36.72388888,-119.5830556,0.1,A,Miscellaneous
6/4/2010,36.75694444,-120.3888889,0.1,A,Miscellaneous
6/4/2010,36.67194444,-120.5369444,0.1,A,Miscellaneous
6/5/2010,36.725,-119.57,4,B,Miscellaneous
6/6/2010,36.57611111,-119.6469444,2,B,Debris Burning
4/18/2010,36.71305555,-119.76,0.1,A,Miscellaneous
4/18/2010,36.67805555,-119.7861111,0.1,A,Miscellaneous
5/1/2010,36.67805555,-119.7861111,0.1,A,Miscellaneous
5/3/2010,36.95305555,-120.6280556,0.1,A,Miscellaneous
5/5/2010,36.54694444,-119.5961111,1,B,Miscellaneous
5/8/2010,36.72194444,-119.7269444,1,B,Miscellaneous
5/11/2010,36.53111111,-120.4861111,4,B,Debris Burning
5/12/2010,36.75611111,-120.3861111,0.1,A,Miscellaneous
5/25/2010,36.63388888,-119.5111111,0.1,A,Debris Burning
5/25/2010,36.63388888,-119.6938889,1,B,Miscellaneous
5/28/2010,36.41611111,-119.7980556,1,B,Miscellaneous
5/30/2010,36.83694444,-119.5561111,21,C,Miscellaneous
5/30/2010,36.35611111,-120.3030556,5,B,Miscellaneous
5/31/2010,36.20388888,-120.0988889,1,B,Miscellaneous
5/31/2010,36.60305555,-120.28,0.3,B,Debris Burning
6/1/2010,36.57611111,-119.635,0.1,A,Miscellaneous
6/6/2010,36.61888888,-119.4488889,1,B,Miscellaneous
6/7/2010,36.85,-120.7719444,0.3,B,Miscellaneous
6/8/2010,36.64305555,-120.6138889,1,B,Miscellaneous
6/9/2010,36.85111111,-120.4680556,1,B,Miscellaneous
6/9/2010,36.62611111,-119.4038889,1,B,Miscellaneous
6/10/2010,36.50111111,-120.3888889,1,B,Miscellaneous
6/17/2010,36.255,-120.1038889,6,B,Debris Burning
6/18/2010,36.92111111,-119.7338889,1,B,Miscellaneous
6/19/2010,36.43194444,-119.9230556,1,B,Miscellaneous
6/19/2010,36.61194444,-119.5211111,1,B,Miscellaneous
6/20/2010,36.715,-119.3488889,1,B,Miscellaneous
6/22/2010,37.03805555,-119.6488889,275,D,Miscellaneous
6/22/2010,36.65611111,-119.7369444,5,B,Miscellaneous
6/11/2010,36.77111111,-119.5738889,2.1,B,Debris Burning
6/12/2010,36.63305555,-120.3880556,5,B,Miscellaneous
6/12/2010,36.60694444,-119.5380556,1,B,Miscellaneous
6/13/2010,36.98194444,-120.5269444,1,B,Miscellaneous
6/14/2010,36.53,-119.7911111,0.5,B,Miscellaneous
6/15/2010,36.61888888,-119.53,1,B,Miscellaneous
6/15/2010,36.43694444,-120.3938889,3,B,Miscellaneous
6/15/2010,36.765,-120.3869444,1,B,Miscellaneous
6/15/2010,36.98194444,-120.5811111,1,B,Debris Burning
6/24/2010,36.67,-119.4888889,1,B,Miscellaneous
6/25/2010,36.255,-120.1038889,1,B,Miscellaneous
6/25/2010,36.18111111,-120.085,1,B,Miscellaneous
6/28/2010,36.77888888,-119.5830556,1,B,Miscellaneous
6/28/2010,36.61194444,-119.5569444,0.2,A,Debris Burning
6/29/2010,36.65,-119.7919444,1,B,Miscellaneous
7/5/2010,36.50111111,-120.3888889,1,B,Miscellaneous
7/6/2010,36.725,-119.57,1,B,Miscellaneous
7/6/2010,36.69194444,-119.565,1,B,Miscellaneous
7/6/2010,36.59,-119.4688889,0.1,A,Miscellaneous
7/6/2010,36.66305555,-119.8,1,B,Debris Burning
7/7/2010,36.725,-119.5111111,1,B,Miscellaneous
7/8/2010,36.21,-120.0861111,3,B,Miscellaneous
7/8/2010,36.92305555,-119.7330556,1,B,Miscellaneous
7/9/2010,36.95388888,-120.6280556,1,B,Miscellaneous
7/17/2010,36.66888888,-119.4419444,0.3,B,Miscellaneous
7/18/2010,36.63305555,-119.4038889,1,B,Debris Burning
7/19/2010,36.73111111,-119.4711111,1,B,Miscellaneous
7/19/2010,36.67805555,-119.735,1,B,Miscellaneous
7/19/2010,36.73111111,-119.4711111,1,B,Miscellaneous
7/21/2010,36.255,-120.1038889,1,B,Miscellaneous
7/23/2010,36.765,-120.3869444,1,B,Debris Burning
7/24/2010,36.54694444,-119.7861111,0.3,B,Miscellaneous
7/24/2010,36.68305555,-119.3838889,1,B,Miscellaneous
7/25/2010,36.59,-119.4669444,0.3,B,Miscellaneous
8/6/2010,36.18,-120.3730556,0.5,B,Miscellaneous
8/9/2010,36.10111111,-120.2630556,0.1,A,Miscellaneous
8/9/2010,36.67805555,-119.565,3,B,Miscellaneous
8/12/2010,36.66194444,-119.43,1,B,Miscellaneous
8/12/2010,36.675,-119.4030556,1,B,Debris Burning
8/12/2010,36.63388888,-119.7861111,1,B,Miscellaneous
8/14/2010,36.73694444,-119.6611111,0.1,A,Miscellaneous
8/15/2010,36.74888888,-120.3869444,1,B,Miscellaneous
8/15/2010,36.765,-120.3838889,1,B,Miscellaneous
8/17/2010,36.77888888,-119.5830556,1,B,Debris Burning
8/22/2010,36.60305555,-120.3888889,1,B,Miscellaneous
8/27/2010,36.605,-119.7638889,1,B,Miscellaneous
8/27/2010,36.73388888,-120.2419444,1,B,Miscellaneous
8/27/2010,36.53194444,-119.5569444,1,B,Miscellaneous
8/27/2010,36.62,-119.7861111,0.3,B,Miscellaneous
8/27/2010,36.64111111,-119.785,1,B,Miscellaneous
8/27/2010,36.63388888,-119.7861111,0.3,B,Miscellaneous
8/28/2010,36.78388888,-120.405,1,B,Miscellaneous
8/28/2010,36.545,-120.3888889,0.4,B,Miscellaneous
9/8/2010,36.54694444,-119.8811111,0.1,A,Miscellaneous
9/10/2010,36.60305555,-120.1988889,1,B,Debris Burning
9/13/2010,36.825,-119.5688889,1,B,Miscellaneous
9/15/2010,36.59,-119.8538889,1,B,Miscellaneous
9/17/2010,36.34194444,-120.3019444,6,B,Miscellaneous
10/10/2010,36.69194444,-119.8130556,1,B,Debris Burning
10/11/2010,36.58111111,-119.395,5,B,Debris Burning
10/15/2010,36.605,-119.845,1,B,Miscellaneous
10/16/2010,36.70694444,-119.6819444,0.2,A,Miscellaneous
10/24/2010,36.62694444,-119.6461111,1,B,Miscellaneous
10/29/2010,36.66305555,-119.6280556,1,B,Debris Burning
10/29/2010,36.95305555,-120.6,1,B,Debris Burning
11/2/2010,36.96694444,-120.6269444,0.1,A,Miscellaneous
7/3/2010,36.765,-120.3869444,0.3,B,Miscellaneous
7/4/2010,36.42388888,-119.7111111,2,B,Miscellaneous
7/4/2010,36.61305555,-119.53,0.1,A,Miscellaneous
7/4/2010,36.50305555,-120.39,1,B,Miscellaneous
7/4/2010,36.69305555,-119.7269444,0.1,A,Miscellaneous
7/5/2010,36.71305555,-119.8511111,0.1,A,Miscellaneous
7/9/2010,36.76194444,-120.3911111,5,B,Miscellaneous
7/10/2010,36.67805555,-119.565,1,B,Miscellaneous
7/10/2010,36.79,-120.3630556,23,C,Miscellaneous
7/11/2010,36.43805555,-119.6988889,5,B,Miscellaneous
7/11/2010,36.20805555,-120.3730556,57,C,Miscellaneous
7/14/2010,36.77,-120.3830556,1,B,Miscellaneous
7/17/2010,36.72111111,-119.7269444,1,B,Miscellaneous
7/26/2010,36.74805555,-120.3711111,1,B,Miscellaneous
7/26/2010,36.67611111,-119.7369444,1,B,Miscellaneous
7/27/2010,36.67305555,-119.7780556,1,B,Debris Burning
7/28/2010,36.53,-119.6561111,0.1,A,Miscellaneous
7/28/2010,36.71694444,-119.7638889,1,B,Miscellaneous
7/31/2010,36.25388888,-120.2469444,1,B,Miscellaneous
8/2/2010,36.78611111,-119.525,1,B,Miscellaneous
8/29/2010,36.67611111,-120.3880556,100,D,Miscellaneous
8/31/2010,36.78805555,-119.5830556,1,B,Miscellaneous
8/31/2010,36.76694444,-120.3838889,1,B,Miscellaneous
8/31/2010,36.78888888,-119.5830556,1,B,Debris Burning
8/31/2010,36.625,-119.3519444,1,B,Miscellaneous
9/3/2010,36.55694444,-119.6111111,1,B,Miscellaneous
9/3/2010,36.67611111,-119.7369444,1,B,Miscellaneous
9/4/2010,36.69888888,-119.8530556,0.1,A,Miscellaneous
9/5/2010,36.58194444,-119.4130556,0.1,A,Miscellaneous
9/5/2010,36.73611111,-119.535,9,B,Miscellaneous
9/22/2010,36.55111111,-119.5569444,4,B,Debris Burning
9/22/2010,36.72,-120.3869444,1,B,Debris Burning
9/24/2010,36.59305555,-119.7638889,1,B,Miscellaneous
9/25/2010,36.64888888,-119.755,1,B,Debris Burning
9/25/2010,36.59111111,-119.8038889,6,B,Debris Burning
9/25/2010,36.73,-119.5019444,1,B,Miscellaneous
9/26/2010,36.67805555,-119.8438889,1,B,Debris Burning
9/28/2010,36.68388888,-119.8511111,1,B,Debris Burning
9/30/2010,36.595,-119.8538889,1,B,Debris Burning
9/30/2010,36.74805555,-119.655,0.1,A,Miscellaneous
10/2/2010,36.63305555,-119.7269444,1,B,Debris Burning
10/3/2010,36.69888888,-119.8811111,1,B,Miscellaneous
10/3/2010,36.56888888,-119.59,1,B,Debris Burning
10/4/2010,36.91305555,-120.55,1,B,Debris Burning
11/3/2010,36.57611111,-119.5880556,1,B,Miscellaneous
11/17/2010,36.64,-120.6211111,1,B,Miscellaneous
11/17/2010,36.60388888,-119.4019444,0.2,A,Debris Burning
11/28/2010,36.64,-120.6211111,0.3,B,Debris Burning
1/2/2010,37.285,-120.4980556,0.1,A,Debris Burning
1/9/2010,37.49194444,-120.7469444,1,B,Miscellaneous
1/13/2010,37.335,-120.875,1,B,Miscellaneous
4/16/2010,37.06888888,-120.31,0.2,A,Debris Burning
5/1/2010,37.38305555,-120.7088889,0.1,A,Miscellaneous
5/2/2010,37.29694444,-121.0219444,1,B,Miscellaneous
5/6/2010,36.92111111,-120.0180556,0.5,B,Miscellaneous
5/7/2010,36.98111111,-120.645,0.5,B,Miscellaneous
5/8/2010,36.88,-120.445,1.5,B,Miscellaneous
5/8/2010,37.39611111,-120.7961111,0.1,A,Miscellaneous
5/8/2010,37.01111111,-120.1111111,1,B,Debris Burning
5/9/2010,36.98611111,-120.645,0.5,B,Miscellaneous
5/9/2010,36.985,-120.645,0.5,B,Miscellaneous
5/10/2010,36.88,-119.9769444,1,B,Miscellaneous
5/20/2010,37.05194444,-120.5719444,0.2,A,Miscellaneous
5/22/2010,36.99305555,-120.7080556,1,B,Miscellaneous
5/22/2010,37.32388888,-120.7311111,1,B,Debris Burning
5/23/2010,37.295,-120.325,0.5,B,Miscellaneous
5/23/2010,37.075,-120.8761111,0.1,A,Miscellaneous
6/1/2010,37.36305555,-120.5769444,0.3,B,Miscellaneous
6/1/2010,37.05694444,-120.9688889,0.3,B,Miscellaneous
6/2/2010,37.38888888,-120.6188889,0.1,A,Miscellaneous
6/2/2010,37.01805555,-120.175,2,B,Miscellaneous
6/2/2010,37.06888888,-120.5280556,0.1,A,Miscellaneous
6/3/2010,37.1,-120.8480556,0.3,B,Miscellaneous
6/3/2010,37.38888888,-120.6188889,0.3,B,Miscellaneous
6/4/2010,37.36305555,-120.5769444,0.1,A,Miscellaneous
6/9/2010,37.285,-120.4838889,0.1,A,Miscellaneous
6/9/2010,37.40388888,-120.7480556,0.2,A,Miscellaneous
6/9/2010,37.185,-120.4369444,1,B,Debris Burning
6/10/2010,36.97111111,-120.0561111,0.2,A,Miscellaneous
6/10/2010,36.98694444,-120.6388889,1,B,Miscellaneous
6/10/2010,37.165,-121.045,4,B,Debris Burning
6/11/2010,37.50305555,-120.41,1600,F,Miscellaneous
3/8/2010,37.42694444,-120.895,0.1,A,Miscellaneous
3/11/2010,36.96694444,-120.645,1,B,Miscellaneous
3/14/2010,37.11305555,-120.4919444,1,B,Miscellaneous
3/15/2010,37.08388888,-120.3111111,0.1,A,Miscellaneous
3/25/2010,37.39694444,-120.6319444,1,B,Miscellaneous
3/25/2010,37.22888888,-120.3838889,0.5,B,Miscellaneous
4/5/2010,37.17111111,-120.3130556,0.1,A,Miscellaneous
