DATE,LAT,LON,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,FIRE,FIRE_SIZE,FIRE_SIZE_CLASS
7/1/2013,32.25,-113.75,41.29,27.8,34.42,0.29,31.01,98.28,3.96,9.81,7.15,NOFIRE,0,NA
7/1/2014,32.25,-113.75,40.56,23.88,31.87,0,25.64,98.22,2.89,7.67,5.24,NOFIRE,0,NA
7/1/2015,32.25,-113.75,35.24,26.2,30.49,3.11,44.89,98.64,1.61,7.63,5.29,NOFIRE,0,NA
7/10/2013,32.25,-113.75,35.6,26.06,30.67,1.1,54.02,98.64,4.87,9.62,6.13,NOFIRE,0,NA
7/10/2014,32.25,-113.75,39.95,27.56,32.83,0.02,41.77,98.46,2.88,5.35,4.06,NOFIRE,0,NA
7/10/2015,32.25,-113.75,34.97,20.6,27.83,0,34.28,98.43,1.49,7.98,4.78,NOFIRE,0,NA
7/11/2013,32.25,-113.75,35.38,24.68,29.71,2.88,49.34,98.56,2.36,9.92,5.15,NOFIRE,0,NA
7/11/2014,32.25,-113.75,40.78,25.9,33.17,0.01,22.8,98.54,1.65,4.28,2.83,NOFIRE,0,NA
7/11/2015,32.25,-113.75,35.28,21.29,28.41,0,34.67,98.67,2.92,6.99,4.98,NOFIRE,0,NA
7/12/2013,32.25,-113.75,38.17,24.88,31.78,0,41.1,98.45,1.85,5.42,3.33,NOFIRE,0,NA
7/12/2014,32.25,-113.75,41.79,24.97,33.66,0,23,98.54,0.69,4.43,2.75,NOFIRE,0,NA
7/12/2015,32.25,-113.75,40.08,22.24,31.52,0,26.77,98.67,1.88,5.91,3.68,NOFIRE,0,NA
7/13/2013,32.25,-113.75,40.49,25.66,33.43,0,37.8,98.43,1.92,5.53,3.39,NOFIRE,0,NA
7/13/2014,32.25,-113.75,37.31,26.9,31.88,1.75,37.62,98.61,3.45,8.33,5.75,NOFIRE,0,NA
7/13/2015,32.25,-113.75,41.65,25.6,33.33,0,26.59,98.42,2.74,5.06,3.62,NOFIRE,0,NA
7/14/2013,32.25,-113.75,39.18,28.31,33.75,0.11,39.92,98.37,1.57,5.78,3.84,NOFIRE,0,NA
7/14/2014,32.25,-113.75,34.46,26.58,30.01,0.53,53.41,98.85,1.99,7.51,4.48,NOFIRE,0,NA
7/14/2015,32.25,-113.75,39.83,25.43,32.57,0.01,29.61,98.23,3.27,8.53,5.47,NOFIRE,0,NA
7/15/2013,32.25,-113.75,42.66,27.27,34.98,0.02,34.35,98.13,2.5,6.72,4.63,NOFIRE,0,NA
7/15/2014,32.25,-113.75,39.82,24.58,32.39,0,34.21,98.75,1.96,5.06,3.45,NOFIRE,0,NA
7/15/2015,32.25,-113.75,37.63,24.67,31.3,0.02,38.4,98.42,3.2,9.51,6.31,NOFIRE,0,NA
7/16/2013,32.25,-113.75,39.96,27.91,33.74,0,35.52,98.38,1.44,6.53,4.72,NOFIRE,0,NA
7/16/2014,32.25,-113.75,41.59,25.52,33.47,0,25.52,98.51,1.57,4.5,3.01,NOFIRE,0,NA
7/16/2015,32.25,-113.75,40.42,24.88,32.91,0.01,36.98,98.42,3.26,7.44,5.14,NOFIRE,0,NA
7/17/2013,32.25,-113.75,39.83,29.01,34.74,2.66,35.51,98.62,0.84,3.07,2.01,NOFIRE,0,NA
7/17/2014,32.25,-113.75,40.38,24.22,32.43,0,19.61,98.48,1.86,5.55,4.07,NOFIRE,0,NA
7/17/2015,32.25,-113.75,39.01,26.98,33.14,0.26,45.75,98.38,3.7,8.62,6.4,NOFIRE,0,NA
7/18/2013,32.25,-113.75,41.71,30.1,35.61,0.26,34.35,98.37,1.2,3.09,1.95,NOFIRE,0,NA
7/18/2014,32.25,-113.75,36.63,26.14,30.9,0,39.47,98.6,0.62,7.92,3.87,NOFIRE,0,NA
7/18/2015,32.25,-113.75,36.02,27.68,31.13,2.6,50.7,98.71,1.6,7.25,4.83,NOFIRE,0,NA
7/19/2013,32.25,-113.75,35.73,26.99,31.48,3.98,52.25,98.4,3.93,5.28,4.6,NOFIRE,0,NA
7/19/2014,32.25,-113.75,39.79,26.61,32.58,0,30.39,98.56,2.04,6.99,4.91,NOFIRE,0,NA
7/19/2015,32.25,-113.75,35.12,26.3,30.38,0.07,53.57,99,1.4,3.74,2.21,NOFIRE,0,NA
7/2/2013,32.25,-113.75,40.09,28.27,33.96,0.41,32.78,98.47,2.18,7.91,5.07,NOFIRE,0,NA
7/2/2014,32.25,-113.75,40.45,24.07,32.27,0,29.97,98.34,3.1,8.53,6,NOFIRE,0,NA
7/2/2015,32.25,-113.75,39.91,24.63,32.56,0,39.93,98.52,2.4,4.92,3.71,NOFIRE,0,NA
7/20/2013,32.25,-113.75,29.12,25.58,27.07,10.81,75.01,98.43,2.33,5.23,4,NOFIRE,0,NA
7/20/2014,32.25,-113.75,39.18,24.27,31.38,0,34.25,98.59,2.86,7.7,5.23,NOFIRE,0,NA
7/20/2015,32.25,-113.75,37.47,24.92,31.36,0,44.13,98.76,2.11,5.3,3.81,NOFIRE,0,NA
7/21/2013,32.25,-113.75,32.91,24.59,28.26,10.07,65.92,98.46,0.99,5.35,3.45,NOFIRE,0,NA
7/21/2014,32.25,-113.75,41.46,24.07,32.8,0,29.81,98.68,2.6,6.09,3.81,NOFIRE,0,NA
7/21/2015,32.25,-113.75,39.89,24.14,31.9,0,34.99,98.36,0.31,5.57,3.02,NOFIRE,0,NA
7/22/2013,32.25,-113.75,35.75,24,29.99,0,48.31,98.63,1.98,5.99,3.92,NOFIRE,0,NA
