YEAR,LAT,LON,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,FIRE_SIZE,FIRE_SIZE_CLASS
5/1/2019,36.99031,-122.11749,15.85,10.15,13.02,0.01,79.51,100.77,0.03,4.3,2.68,NA,NA
5/2/2019,36.99031,-122.11749,16.33,11.15,13.34,0,78.67,100.79,2.9,5.83,4.32,NA,NA
5/3/2019,36.99031,-122.11749,16.04,10.87,13.04,0,80.77,100.58,2.12,5.39,3.6,NA,NA
5/4/2019,36.99031,-122.11749,14.45,9.18,11.65,0,82.74,100.36,2.94,5.19,3.75,NA,NA
5/5/2019,36.99031,-122.11749,14.31,9.87,11.81,0.17,78.39,100.22,2.28,5.52,3.7,NA,NA
5/6/2019,36.99031,-122.11749,14.9,10.77,12.9,0.7,79.24,100.39,2.86,4.62,3.73,NA,NA
5/7/2019,36.99031,-122.11749,15.38,11.75,13.04,0.53,80.85,100.84,2.06,4.17,3.29,NA,NA
5/8/2019,36.99031,-122.11749,15.33,11.3,13.03,0.15,83.37,100.58,1.32,3.54,2.52,NA,NA
5/9/2019,36.99031,-122.11749,15.46,12.02,13.66,0.49,86.91,100,1.78,3.79,2.88,NA,NA
5/10/2019,36.99031,-122.11749,16.54,12.12,14.04,0.22,83.98,100.15,0.5,4.33,2.6,NA,NA
5/11/2019,36.99031,-122.11749,16.39,11.81,14.11,0.23,84.46,100.55,1.77,5.5,3.88,NA,NA
5/12/2019,36.99031,-122.11749,15.75,11.55,13.37,0.42,84.36,100.62,3.02,6.14,4.96,NA,NA
5/13/2019,36.99031,-122.11749,15.39,11.61,13.33,0.04,86.36,100.74,1.92,5.95,4.25,NA,NA
5/14/2019,36.99031,-122.11749,15.32,11.55,13.37,0.48,82.59,100.72,2.93,5.42,3.98,NA,NA
5/15/2019,36.99031,-122.11749,16.23,13.2,14.62,18.79,86.18,100.02,1.53,10.62,6.39,NA,NA
5/16/2019,36.99031,-122.11749,13.96,11.98,12.95,3.03,78.81,100.4,5.84,8.43,6.79,NA,NA
5/17/2019,36.99031,-122.11749,14.22,11.26,12.68,0.1,74.84,101.03,3.06,6.17,5.14,NA,NA
5/18/2019,36.99031,-122.11749,14.49,11.17,12.9,22.88,85.56,100.34,1.6,7.72,4.88,NA,NA
5/19/2019,36.99031,-122.11749,14.37,11.74,12.91,6.78,81.77,99.99,3.81,5.97,4.98,NA,NA
5/20/2019,36.99031,-122.11749,14.29,11.52,12.91,0.29,81.55,100.54,3.06,6.75,4.62,NA,NA
5/21/2019,36.99031,-122.11749,13.67,12.07,12.8,3.95,83.37,100.47,4.62,10.41,8.69,NA,NA
5/22/2019,36.99031,-122.11749,15.39,12.06,13.5,1.1,83.36,100.12,5.29,10.45,6.96,NA,NA
5/23/2019,36.99031,-122.11749,15.56,12.29,13.72,0.77,87.07,100.21,1.28,6.23,3.25,NA,NA
5/24/2019,36.99031,-122.11749,15.86,12.18,13.89,0.56,86.27,100.61,1.02,5.82,3.15,NA,NA
5/25/2019,36.99031,-122.11749,14.59,12.02,12.98,0.24,82.5,100.2,5.33,7.41,6.2,NA,NA
5/26/2019,36.99031,-122.11749,12.86,10.93,11.82,2.78,82.09,100.29,3.87,7.9,6.43,NA,NA
5/27/2019,36.99031,-122.11749,14.03,11.22,12.49,0.38,85.32,100.88,3.84,6.09,4.91,NA,NA
5/28/2019,36.99031,-122.11749,15.66,11.34,12.94,0.28,86.06,100.67,2.8,6.9,4.66,NA,NA
5/29/2019,36.99031,-122.11749,16.01,11.3,13.18,0.33,87.76,100.37,1.99,7.91,5,NA,NA
5/30/2019,36.99031,-122.11749,14.21,11.02,12.29,0.29,86.32,100.4,3.78,5.94,4.98,NA,NA
5/31/2019,36.99031,-122.11749,16.22,11.16,13.55,0.07,86.33,100.27,1.79,4.75,3.5,NA,NA
