,Unnamed: 0,DATE,LATITUDE,LONGITUDE,FIRE_SIZE,FIRE_SIZE_CLASS,STAT_CAUSE_DESCR
0,5,2013-07-20 00:00:00,40.80833333,-123.0547222,0.2,A,Miscellaneous
1,21,2013-07-17 00:00:00,34.20083333,-117.35,0.25,A,Miscellaneous
2,30,2013-07-26 00:00:00,40.4025,-123.2075,0.1,A,Miscellaneous
3,31,2013-07-31 00:00:00,41.31916667,-123.17305559999998,2420.0,F,Miscellaneous
4,39,2013-07-26 00:00:00,39.76833333,-120.5133333,0.1,A,Miscellaneous
5,57,2013-07-26 00:00:00,34.30555556,-117.5138889,0.1,A,Miscellaneous
6,61,2013-07-20 00:00:00,36.46972222,-118.1744444,0.25,A,Miscellaneous
7,63,2013-07-31 00:00:00,41.30777778,-123.20416670000002,3.0,B,Miscellaneous
8,64,2013-07-02 00:00:00,34.19166667,-117.1875,8.0,B,Miscellaneous
9,91,2013-07-16 00:00:00,40.79583333,-122.7688889,0.1,A,Miscellaneous
10,94,2013-07-08 00:00:00,38.77444444,-120.2975,572.0,E,Miscellaneous
11,99,2013-07-23 00:00:00,40.99527778,-122.6986111,0.1,A,Miscellaneous
12,102,2013-07-24 00:00:00,37.13083333,-119.3963889,0.5,B,Miscellaneous
13,108,2013-07-14 00:00:00,40.89555556,-123.5672222,0.1,A,Miscellaneous
14,116,2013-07-08 00:00:00,40.40888889,-123.2436111,0.1,A,Miscellaneous
15,128,2013-07-23 00:00:00,39.67194444,-120.2325,0.1,A,Miscellaneous
16,129,2013-07-21 00:00:00,34.30666667,-118.3772222,0.25,A,Miscellaneous
17,131,2013-07-20 00:00:00,34.29583333,-117.475,0.1,A,Miscellaneous
18,135,2013-07-13 00:00:00,40.85083333,-122.8502778,0.1,A,Miscellaneous
19,136,2013-07-07 00:00:00,34.31472222,-118.3827778,0.1,A,Miscellaneous
20,146,2013-07-10 00:00:00,40.6475,-121.46,0.2,A,Miscellaneous
21,147,2013-07-30 00:00:00,40.42444444,-123.4988889,2.0,B,Miscellaneous
22,156,2013-07-31 00:00:00,41.31027778,-123.2044444,12365.0,G,Miscellaneous
23,160,2013-07-14 00:00:00,34.475,-117.8302778,0.1,A,Debris Burning
24,162,2013-07-25 00:00:00,34.40555556,-118.4594444,1.0,B,Miscellaneous
25,163,2013-07-15 00:00:00,39.66861111,-120.6663889,0.1,A,Miscellaneous
26,167,2013-07-25 00:00:00,35.4375,-118.8055556,0.1,A,Miscellaneous
27,176,2013-07-18 00:00:00,40.66666667,-121.4333333,0.1,A,Miscellaneous
28,178,2013-07-19 00:00:00,40.17777778,-120.9986111,0.37,B,Miscellaneous
29,199,2013-07-10 00:00:00,41.74444444,-122.9775,0.6,B,Miscellaneous
30,206,2013-07-26 00:00:00,40.73111111,-122.80916670000002,0.75,B,Miscellaneous
31,207,2013-07-15 00:00:00,33.54194444,-116.71,0.1,A,Miscellaneous
32,208,2013-07-20 00:00:00,39.15111111,-120.7744444,0.25,A,Miscellaneous
33,217,2013-07-31 00:00:00,41.44972222,-121.775,1.6,B,Miscellaneous
34,224,2013-07-24 00:00:00,35.48277778,-118.7113889,0.1,A,Miscellaneous
35,233,2013-07-11 00:00:00,33.02916667,-116.6347222,0.1,A,Debris Burning
36,241,2013-07-10 00:00:00,34.57194444,-118.68694440000002,0.25,A,Miscellaneous
37,246,2013-07-25 00:00:00,37.13444444,-119.4072222,0.1,A,Miscellaneous
