,Unnamed: 0,Unnamed: 0.1,LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,RH2M,PS,WS10M_MIN,WS10M_MAX,WS10M,DATE
5795,34865,34865,39.25,-123.75,2013,7,1,24.84,14.52,19.76,0.0,62.83,98.83,2.66,4.75,3.95,2013-07-01 00:00:00
5796,34866,34866,39.25,-123.75,2013,7,1,24.84,14.52,19.76,0.0,62.83,98.83,2.66,4.75,3.95,2013-07-01 00:00:00
5797,34867,34867,39.25,-123.75,2013,7,1,24.84,14.52,19.76,0.0,62.83,98.83,2.66,4.75,3.95,2013-07-01 00:00:00
5798,34868,34868,39.25,-123.75,2013,7,1,24.84,14.52,19.76,0.0,62.83,98.83,2.66,4.75,3.95,2013-07-01 00:00:00
5799,34869,34869,39.25,-123.25,2013,7,1,35.16,15.73,25.78,0.0,37.13,94.63,0.29,2.61,1.9,2013-07-01 00:00:00
5800,34870,34870,39.25,-123.25,2013,7,1,35.16,15.73,25.78,0.0,37.13,94.63,0.29,2.61,1.9,2013-07-01 00:00:00
5801,34871,34871,39.25,-123.25,2013,7,1,35.16,15.73,25.78,0.0,37.13,94.63,0.29,2.61,1.9,2013-07-01 00:00:00
5802,34872,34872,39.25,-123.25,2013,7,1,35.16,15.73,25.78,0.0,37.13,94.63,0.29,2.61,1.9,2013-07-01 00:00:00
5803,34873,34873,39.25,-122.75,2013,7,1,40.54,19.19,30.13,0.0,26.69,95.19,0.43,2.2,1.4,2013-07-01 00:00:00
5804,34874,34874,39.25,-122.75,2013,7,1,40.54,19.19,30.13,0.0,26.69,95.19,0.43,2.2,1.4,2013-07-01 00:00:00
5805,34875,34875,39.25,-122.75,2013,7,1,40.54,19.19,30.13,0.0,26.69,95.19,0.43,2.2,1.4,2013-07-01 00:00:00
5806,34876,34876,39.25,-122.75,2013,7,1,40.54,19.19,30.13,0.0,26.69,95.19,0.43,2.2,1.4,2013-07-01 00:00:00
5807,34877,34877,39.25,-122.25,2013,7,1,43.14,21.32,32.27,0.0,24.46,97.69,0.18,2.14,1.06,2013-07-01 00:00:00
5808,34878,34878,39.25,-122.25,2013,7,1,43.14,21.32,32.27,0.0,24.46,97.69,0.18,2.14,1.06,2013-07-01 00:00:00
5809,34879,34879,39.25,-122.25,2013,7,1,43.14,21.32,32.27,0.0,24.46,97.69,0.18,2.14,1.06,2013-07-01 00:00:00
5810,34880,34880,39.25,-122.25,2013,7,1,43.14,21.32,32.27,0.0,24.46,97.69,0.18,2.14,1.06,2013-07-01 00:00:00
5811,34881,34881,39.25,-121.75,2013,7,1,43.41,21.33,32.39,0.01,25.81,98.91,0.26,2.98,1.66,2013-07-01 00:00:00
5812,34882,34882,39.25,-121.75,2013,7,1,43.41,21.33,32.39,0.01,25.81,98.91,0.26,2.98,1.66,2013-07-01 00:00:00
5813,34883,34883,39.25,-121.75,2013,7,1,43.41,21.33,32.39,0.01,25.81,98.91,0.26,2.98,1.66,2013-07-01 00:00:00
5814,34884,34884,39.25,-121.75,2013,7,1,43.41,21.33,32.39,0.01,25.81,98.91,0.26,2.98,1.66,2013-07-01 00:00:00
5815,34885,34885,39.25,-121.25,2013,7,1,41.16,21.21,31.46,0.01,24.71,95.23,0.51,3.64,2.45,2013-07-01 00:00:00
5816,34886,34886,39.25,-121.25,2013,7,1,41.16,21.21,31.46,0.01,24.71,95.23,0.51,3.64,2.45,2013-07-01 00:00:00
5817,34887,34887,39.25,-121.25,2013,7,1,41.16,21.21,31.46,0.01,24.71,95.23,0.51,3.64,2.45,2013-07-01 00:00:00
5818,34888,34888,39.25,-121.25,2013,7,1,41.16,21.21,31.46,0.01,24.71,95.23,0.51,3.64,2.45,2013-07-01 00:00:00
5819,34889,34889,39.25,-120.75,2013,7,1,37.28,18.53,27.97,0.05,27.03,87.88,0.74,3.6,2.23,2013-07-01 00:00:00
5820,34890,34890,39.25,-120.75,2013,7,1,37.28,18.53,27.97,0.05,27.03,87.88,0.74,3.6,2.23,2013-07-01 00:00:00
5821,34891,34891,39.25,-120.75,2013,7,1,37.28,18.53,27.97,0.05,27.03,87.88,0.74,3.6,2.23,2013-07-01 00:00:00
5822,34892,34892,39.25,-120.75,2013,7,1,37.28,18.53,27.97,0.05,27.03,87.88,0.74,3.6,2.23,2013-07-01 00:00:00
5823,34893,34893,39.25,-120.25,2013,7,1,35.69,18.08,26.19,0.11,29.09,83.56,0.45,3.38,1.82,2013-07-01 00:00:00
5824,34894,34894,39.25,-120.25,2013,7,1,35.69,18.08,26.19,0.11,29.09,83.56,0.45,3.38,1.82,2013-07-01 00:00:00
5825,34895,34895,39.25,-120.25,2013,7,1,35.69,18.08,26.19,0.11,29.09,83.56,0.45,3.38,1.82,2013-07-01 00:00:00
5826,34896,34896,39.25,-120.25,2013,7,1,35.69,18.08,26.19,0.11,29.09,83.56,0.45,3.38,1.82,2013-07-01 00:00:00
